DATE,DAY_OF_HOLIDAY,HOLIDAY,OUT_OF_OFFICE,DOW_OUT_OF_OFFICE,OUT_OF_OFFICE_WHEN
2023-01-16,Mon,"Martin Luther King, Jr. Day",2023-01-16,Mon,Day of
2023-02-20,Mon,Presidents Day,2023-02-20,Mon,Day of
2023-05-29,Mon,Memorial Day,2023-05-29,Mon,Day of
2023-07-04,Tue,Independence Day,2023-07-04,Tue,Day of
2023-09-04,Mon,Labor Day,2023-09-04,Mon,Day of
2023-11-11,Sat,Veterans Day,2023-11-10,Fri,Friday Before
2023-11-23,Thu,Thanksgiving Day,2023-11-23,Thu,Day of
2023-11-24,Fri,Day After Thanksgiving,2023-11-24,Fri,Day of
2023-12-25,Mon,Christmas Day,2023-12-25,Mon,Day of
2024-01-01,Mon,New Year's Day,2024-01-01,Mon,Day of
2024-01-15,Mon,"Martin Luther King, Jr. Day",2024-01-15,Mon,Day of
2024-02-19,Mon,Presidents Day,2024-02-19,Mon,Day of
2024-05-27,Mon,Memorial Day,2024-05-27,Mon,Day of
2024-07-04,Thu,Independence Day,2024-07-04,Thu,Day of
2024-09-02,Mon,Labor Day,2024-09-02,Mon,Day of
2024-11-11,Mon,Veterans Day,2024-11-11,Mon,Day of
2024-11-28,Thu,Thanksgiving Day,2024-11-28,Thu,Day of
2024-11-29,Fri,Day After Thanksgiving,2024-11-29,Fri,Day of
2024-12-25,Wed,Christmas Day,2024-12-25,Wed,Day of
2025-01-01,Wed,New Year's Day,2025-01-01,Wed,Day of
2025-01-20,Mon,"Martin Luther King, Jr. Day",2025-01-20,Mon,Day of
2025-02-17,Mon,Presidents Day,2025-02-17,Mon,Day of
2025-05-26,Mon,Memorial Day,2025-05-26,Mon,Day of
2025-07-04,Fri,Independence Day,2025-07-04,Fri,Day of
2025-09-01,Mon,Labor Day,2025-09-01,Mon,Day of
2025-11-11,Tue,Veterans Day,2025-11-11,Tue,Day of
2025-11-27,Thu,Thanksgiving Day,2025-11-27,Thu,Day of
2025-11-28,Fri,Day After Thanksgiving,2025-11-28,Fri,Day of
2025-12-25,Thu,Christmas Day,2025-12-25,Thu,Day of
2026-01-01,Thu,New Year's Day,2026-01-01,Thu,Day of
2026-01-19,Mon,"Martin Luther King, Jr. Day",2026-01-19,Mon,Day of
2026-02-16,Mon,Presidents Day,2026-02-16,Mon,Day of
2026-05-25,Mon,Memorial Day,2026-05-25,Mon,Day of
2026-07-04,Sat,Independence Day,2026-07-03,Fri,Friday before
2026-09-07,Mon,Labor Day,2026-09-07,Mon,Day of
2026-11-11,Wed,Veterans Day,2026-11-11,Wed,Day of
2026-11-26,Thu,Thanksgiving Day,2026-11-26,Thu,Day of
2026-11-27,Fri,Day After Thanksgiving,2026-11-27,Fri,Day of
2026-12-25,Fri,Christmas Day,2026-12-25,Fri,Day of
2027-01-01,Fri,New Year's Day,2027-01-01,Fri,Day of
2027-01-18,Mon,"Martin Luther King, Jr. Day",2027-01-18,Mon,Day of
2027-02-15,Mon,Presidents Day,2027-02-15,Mon,Day of
2027-05-31,Mon,Memorial Day,2027-05-31,Mon,Day of
2027-07-04,Sun,Independence Day,2027-07-05,Mon,Monday after
2027-09-06,Mon,Labor Day,2027-09-06,Mon,Day of
2027-11-11,Thu,Veterans Day,2027-11-11,Thu,Day of
2027-11-25,Thu,Thanksgiving Day,2027-11-25,Thu,Day of
2027-11-26,Fri,Day After Thanksgiving,2027-11-26,Fri,Day of
2027-12-25,Sat,Christmas Day,2027-12-27,Mon,Monday after
2028-01-01,Sat,New Year's Day,2028-01-03,Mon,Monday after
2028-01-17,Mon,"Martin Luther King, Jr. Day",2028-01-17,Mon,Day of
2028-02-21,Mon,Presidents Day,2028-02-21,Mon,Day of
2028-05-29,Mon,Memorial Day,2028-05-29,Mon,Day of
2028-07-04,Tue,Independence Day,2028-07-04,Tue,Day of
2028-09-04,Mon,Labor Day,2028-09-04,Mon,Day of
2028-11-23,Thu,Thanksgiving Day,2028-11-23,Thu,Day of
2028-11-24,Fri,Day After Thanksgiving,2028-11-24,Fri,Day of
2028-12-25,Mon,Christmas Day,2028-12-25,Mon,Day of
2029-01-01,Mon,New Year's Day,2029-01-01,Mon,Day of
2029-01-15,Mon,"Martin Luther King, Jr. Day",2029-01-15,Mon,Day of
2029-02-19,Mon,Presidents Day,2029-02-19,Mon,Day of
2029-05-28,Mon,Memorial Day,2029-05-28,Mon,Day of
2029-07-04,Wed,Independence Day,2029-07-04,Wed,Day of
2029-09-03,Mon,Labor Day,2029-09-03,Mon,Day of
2029-11-11,Sun,Veterans Day,2029-11-12,Mon,Monday after
2029-11-22,Thu,Thanksgiving Day,2029-11-22,Thu,Day of
2029-11-23,Fri,Day After Thanksgiving,2029-11-23,Fri,Day of
2029-12-25,Tue,Christmas Day,2029-12-25,Tue,Day of
2030-01-01,Tue,New Year's Day,2030-01-01,Tue,Day of
2030-01-21,Mon,"Martin Luther King, Jr. Day",2030-01-21,Mon,Day of
2030-02-18,Mon,Presidents Day,2030-02-18,Mon,Day of
2030-05-27,Mon,Memorial Day,2030-05-27,Mon,Day of
2030-07-04,Thu,Independence Day,2030-07-04,Thu,Day of
2030-09-02,Mon,Labor Day,2030-09-02,Mon,Day of
2030-11-11,Mon,Veterans Day,2030-11-11,Mon,Day of
2030-11-28,Thu,Thanksgiving Day,2030-11-28,Thu,Day of
2030-11-29,Fri,Day After Thanksgiving,2030-11-29,Fri,Day of
2030-12-25,Wed,Christmas Day,2030-12-25,Wed,Day of
2031-01-01,Wed,New Year's Day,2031-01-01,Wed,Day of
2031-01-20,Mon,"Martin Luther King, Jr. Day",2031-01-20,Mon,Day of
2031-02-17,Mon,Presidents Day,2031-02-17,Mon,Day of
2031-05-26,Mon,Memorial Day,2031-05-26,Mon,Day of
2031-07-04,Fri,Independence Day,2031-07-04,Fri,Day of
2031-09-01,Mon,Labor Day,2031-09-01,Mon,Day of
2031-11-11,Tue,Veterans Day,2031-11-11,Tue,Day of
2031-11-27,Thu,Thanksgiving Day,2031-11-27,Thu,Day of
2031-11-28,Fri,Day After Thanksgiving,2031-11-28,Fri,Day of
2031-12-25,Thu,Christmas Day,2031-12-25,Thu,Day of
2032-01-01,Thu,New Year's Day,2032-01-01,Thu,Day of
2032-01-19,Mon,"Martin Luther King, Jr. Day",2032-01-19,Mon,Day of
2032-02-16,Mon,Presidents Day,2032-02-16,Mon,Day of
2032-05-31,Mon,Memorial Day,2032-05-31,Mon,Day of
2032-07-04,Sun,Independence Day,2032-07-05,Mon,Monday after
2032-09-06,Mon,Labor Day,2032-09-06,Mon,Day of
2032-11-11,Thu,Veterans Day,2032-11-11,Thu,Day of
2032-11-25,Thu,Thanksgiving Day,2032-11-25,Thu,Day of
2032-11-26,Fri,Day After Thanksgiving,2032-11-26,Fri,Day of
2032-12-25,Sat,Christmas Day,2032-12-27,Mon,Monday after
2033-01-01,Sat,New Year's Day,2033-01-03,Mon,Monday after
2033-01-17,Mon,"Martin Luther King, Jr. Day",2033-01-17,Mon,Day of
2033-02-21,Mon,Presidents Day,2033-02-21,Mon,Day of
2033-05-30,Mon,Memorial Day,2033-05-30,Mon,Day of
2033-07-04,Mon,Independence Day,2033-07-04,Mon,Day of
2033-09-05,Mon,Labor Day,2033-09-05,Mon,Day of
2033-11-11,Fri,Veterans Day,2033-11-11,Fri,Day of
2033-11-24,Thu,Thanksgiving Day,2033-11-24,Thu,Day of
2033-11-25,Fri,Day After Thanksgiving,2033-11-25,Fri,Day of
2033-12-25,Sun,Christmas Day,2033-12-26,Mon,Monday after
2034-01-01,Sun,New Year's Day,2034-01-02,Mon,Monday after
2034-01-16,Mon,"Martin Luther King, Jr. Day",2034-01-16,Mon,Day of
2034-02-20,Mon,Presidents Day,2034-02-20,Mon,Day of
2034-05-29,Mon,Memorial Day,2034-05-29,Mon,Day of
2034-07-04,Tue,Independence Day,2034-07-04,Tue,Day of
2034-09-04,Mon,Labor Day,2034-09-04,Mon,Day of
2034-11-23,Thu,Thanksgiving Day,2034-11-23,Thu,Day of
2034-11-24,Fri,Day After Thanksgiving,2034-11-24,Fri,Day of
2034-12-25,Mon,Christmas Day,2034-12-25,Mon,Day of
2035-01-01,Mon,New Year's Day,2035-01-01,Mon,Day of
2035-01-15,Mon,"Martin Luther King, Jr. Day",2035-01-15,Mon,Day of
2035-02-19,Mon,Presidents Day,2035-02-19,Mon,Day of
2035-05-28,Mon,Memorial Day,2035-05-28,Mon,Day of
2035-07-04,Wed,Independence Day,2035-07-04,Wed,Day of
2035-09-03,Mon,Labor Day,2035-09-03,Mon,Day of
2035-11-11,Sun,Veterans Day,2035-11-12,Mon,Monday after
2035-11-22,Thu,Thanksgiving Day,2035-11-22,Thu,Day of
2035-11-23,Fri,Day After Thanksgiving,2035-11-23,Fri,Day of
2035-12-25,Tue,Christmas Day,2035-12-25,Tue,Day of
2036-01-01,Tue,New Year's Day,2036-01-01,Tue,Day of
2036-01-21,Mon,"Martin Luther King, Jr. Day",2036-01-21,Mon,Day of
2036-02-18,Mon,Presidents Day,2036-02-18,Mon,Day of
2036-05-26,Mon,Memorial Day,2036-05-26,Mon,Day of
2036-07-04,Fri,Independence Day,2036-07-04,Fri,Day of
2036-09-01,Mon,Labor Day,2036-09-01,Mon,Day of
2036-11-11,Tue,Veterans Day,2036-11-11,Tue,Day of
2036-11-27,Thu,Thanksgiving Day,2036-11-27,Thu,Day of
2036-11-28,Fri,Day After Thanksgiving,2036-11-28,Fri,Day of
2036-12-25,Thu,Christmas Day,2036-12-25,Thu,Day of
2037-01-01,Thu,New Year's Day,2037-01-01,Thu,Day of
2037-01-19,Mon,"Martin Luther King, Jr. Day",2037-01-19,Mon,Day of
2037-02-16,Mon,Presidents Day,2037-02-16,Mon,Day of
2037-05-25,Mon,Memorial Day,2037-05-25,Mon,Day of
2037-07-04,Sat,Independence Day,2037-07-03,Fri,Friday before
2037-09-07,Mon,Labor Day,2037-09-07,Mon,Day of
2037-11-11,Wed,Veterans Day,2037-11-11,Wed,Day of
2037-11-26,Thu,Thanksgiving Day,2037-11-26,Thu,Day of
2037-11-27,Fri,Day After Thanksgiving,2037-11-27,Fri,Day of
2037-12-25,Fri,Christmas Day,2037-12-25,Fri,Day of
2038-01-01,Fri,New Year's Day,2038-01-01,Fri,Day of
2038-01-18,Mon,"Martin Luther King, Jr. Day",2038-01-18,Mon,Day of
2038-02-15,Mon,Presidents Day,2038-02-15,Mon,Day of
2038-05-31,Mon,Memorial Day,2038-05-31,Mon,Day of
2038-07-04,Sun,Independence Day,2038-07-05,Mon,Monday after
2038-09-06,Mon,Labor Day,2038-09-06,Mon,Day of
2038-11-11,Thu,Veterans Day,2038-11-11,Thu,Day of
2038-11-25,Thu,Thanksgiving Day,2038-11-25,Thu,Day of
2038-11-26,Fri,Day After Thanksgiving,2038-11-26,Fri,Day of
2038-12-25,Sat,Christmas Day,2038-12-27,Mon,Monday after
2039-01-01,Sat,New Year's Day,2039-01-03,Mon,Monday after
2039-01-17,Mon,"Martin Luther King, Jr. Day",2039-01-17,Mon,Day of
2039-02-21,Mon,Presidents Day,2039-02-21,Mon,Day of
2039-05-30,Mon,Memorial Day,2039-05-30,Mon,Day of
2039-07-04,Mon,Independence Day,2039-07-04,Mon,Day of
2039-09-05,Mon,Labor Day,2039-09-05,Mon,Day of
2039-11-11,Fri,Veterans Day,2039-11-11,Fri,Day of
2039-11-24,Thu,Thanksgiving Day,2039-11-24,Thu,Day of
